OTU	Kingdom	Phylum	Class	Order	Family	Genus	Species
OTU208	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	OM60(NOR5)_clade	
OTU209	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Acidovorax	
OTU210	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae		
OTU211	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Limnohabitans	
OTU212	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Ulvibacter	
OTU213	Bacteria	Proteobacteria	Alphaproteobacteria	SAR11_clade	Clade_III		
OTU214	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Burkholderiaceae	Massilia	
OTU215	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Salinihabitans	
OTU216	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast			
OTU217	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Terasakiellaceae		
OTU218	Bacteria	Verrucomicrobia	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Lentimonas	
OTU219	Bacteria	Gemmatimonadetes	BD2-11_terrestrial_group				
OTU220	Bacteria	Proteobacteria	Gammaproteobacteria	Ectothiorhodospirales	Ectothiorhodospiraceae		
OTU221	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Cryomorphaceae		
OTU222	Bacteria						
OTU223	Bacteria	Proteobacteria	Gammaproteobacteria	Betaproteobacteriales	Gallionellaceae	Gallionella	
OTU224	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	
OTU225	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast			
OTU226	Bacteria	Thermotogae	Thermotogae	Kosmotogales	Kosmotogaceae	Mesotoga	
OTU227	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	Microbacteriaceae	Rhodoluna	
OTU228	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast			
OTU229	Bacteria	Proteobacteria	Alphaproteobacteria				
OTU230	Bacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Cyanobiaceae	Cyanobium_PCC-6307	
OTU231	Bacteria	Proteobacteria	Gammaproteobacteria				
OTU232	Bacteria	Bacteroidetes	Ignavibacteria	OPB56			
OTU233	Bacteria	Planctomycetes	Planctomycetacia	Pirellulales	Pirellulaceae	Blastopirellula	
OTU234	Bacteria	Actinobacteria	Actinobacteria	PeM15			
OTU235	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Klebsiella	
OTU236	Bacteria	Bacteroidetes	Bacteroidia	Sphingobacteriales	Lentimicrobiaceae		
OTU237	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	NS9_marine_group		
OTU238	Bacteria	Planctomycetes	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	CL500-3	
OTU239	Bacteria	Cyanobacteria	Oxyphotobacteria	Chloroplast			
OTU240	Bacteria	Bacteroidetes	Bacteroidia	Chitinophagales	Saprospiraceae		
OTU241	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Formosa	
OTU242	Bacteria	Proteobacteria	Gammaproteobacteria	SAR86_clade			
OTU243	Bacteria	Bacteroidetes	Bacteroidia	Flavobacteriales	Cryomorphaceae		
OTU244	Bacteria	Cyanobacteria	Oxyphotobacteria	Synechococcales	Cyanobiaceae	Cyanobium_PCC-6307	
OTU245	Bacteria	Actinobacteria	Acidimicrobiia	Microtrichales	Microtrichaceae	Sva0996_marine_group	
OTU246	Bacteria	Proteobacteria	Alphaproteobacteria				
OTU247	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_Incertae_Sedis	Unknown_Family	Acidibacter	
