#                                                                           running time (s)                 
#                                                                    -------------------------------          
#  idx  seq name  length  cm from    cm to  trunc    bit sc  avg pp  band calc  alignment      total  mem (Mb)
# ----  --------  ------  -------  -------  -----  --------  ------  ---------  ---------  ---------  --------
   264  OTU1320      249      524      773  5'&3'    232.53   0.998       0.05       0.02       0.07      5.65
   265  OTU1321      250      524      773  5'&3'    221.77   0.999       0.05       0.02       0.08      5.74
   266  OTU1322      250      524      773  5'&3'    234.81   1.000       0.05       0.02       0.07      5.67
   267  OTU1323      250      524      773  5'&3'    221.40   0.999       0.05       0.03       0.08      5.75
   268  OTU1324      250      524      773  5'&3'    229.60   0.999       0.05       0.03       0.08      5.73
   269  OTU1325      250      524      773  5'&3'    222.34   0.999       0.05       0.03       0.08      5.74
   270  OTU1326      250      524      773  5'&3'    221.19   1.000       0.05       0.02       0.08      5.73
   271  OTU1327      250      524      773  5'&3'    226.10   1.000       0.05       0.02       0.08      5.69
   272  OTU1328      250      524      773  5'&3'    233.57   1.000       0.05       0.02       0.07      5.65
   273  OTU133       250      524      773  5'&3'    229.34   1.000       0.05       0.02       0.07      5.68
   274  OTU1331      250      524      773  5'&3'    242.12   1.000       0.05       0.02       0.07      5.63
   275  OTU1332      250      524      773  5'&3'    226.39   0.999       0.05       0.02       0.07      5.66
   276  OTU1334      250      524      773  5'&3'    230.12   1.000       0.05       0.02       0.07      5.61
   277  OTU1335      250      524      773  5'&3'    230.33   1.000       0.05       0.02       0.08      5.64
   278  OTU1336      250      524      773  5'&3'    211.17   1.000       0.05       0.03       0.08      5.81
   279  OTU1338      250      524      773  5'&3'    210.69   1.000       0.05       0.03       0.08      5.89
   280  OTU1339      250      524      773  5'&3'    218.02   1.000       0.05       0.03       0.08      5.78
   281  OTU134       250      524      773  5'&3'    242.29   1.000       0.05       0.02       0.07      5.65
   282  OTU1340      250      524      773  5'&3'    239.40   1.000       0.05       0.02       0.07      5.65
   283  OTU1341      250      524      773  5'&3'    236.02   1.000       0.05       0.02       0.07      5.66
   284  OTU1343      250      524      773  5'&3'    231.60   1.000       0.05       0.02       0.07      5.65
   285  OTU1347      250      524      773  5'&3'    243.06   1.000       0.05       0.02       0.07      5.64
   286  OTU1348      250      524      773  5'&3'    226.85   1.000       0.05       0.02       0.07      5.65
   287  OTU1349      250      524      773  5'&3'    237.56   1.000       0.05       0.03       0.08      5.71
   288  OTU135       250      524      773  5'&3'    229.32   0.999       0.05       0.03       0.08      5.73
   289  OTU1350      250      524      773  5'&3'    235.64   1.000       0.05       0.04       0.09      5.67
   290  OTU1355      250      524      773  5'&3'    158.39   0.999       0.05       0.04       0.09      6.07
   291  OTU1358      251      524      773  5'&3'    223.17   0.998       0.06       0.04       0.10      5.85
   292  OTU1359      250      524      773  5'&3'    230.05   1.000       0.06       0.04       0.09      5.66
   293  OTU1363      250      524      773  5'&3'    221.62   1.000       0.06       0.04       0.09      5.72
